SHOE_NAME,Brand,Closure,Construction,Downturn,Environment,Features,Fit,Last Shape,Level,Lined,MSRP (USD),Midsole,Release Date,Stiffness,Stretch,Thickness (mm),Tongue Pull Loop,Top,Use,Weight (oz)
Scarpa Velocity,Scarpa,{Velcro},{Vegan},Neutral,{Indoor},"{Split Tongue, Lightweight, Cheap}",Comfort,Straight,"{Beginner, Intermediate}",True,85.00,Yes,2021,,,4.0,False,Low,"{Trad, Sport, Bouldering}",7.4
Evolv Rave,Evolv,{Slip-On},{},Neutral,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",False,115.00,Full,2021,,True,,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",
Evolv X1,Evolv,{Velcro},"{Slip Lasted, Vegan}",Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",False,140.00,Partial,2021,Soft,True,4.2,True,Low,"{Face, Overhang, Sport}",8.1
Mad Rock Remora,Mad Rock,{Slip-On},{Vegan},Moderate,"{Indoor, Outdoor}",{Cheap},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",,95.00,No,2021,Soft,,4.2,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.4
Evolv Kira,Evolv,{Velcro},"{Slip Lasted, Vegan}",Moderate,"{Indoor, Outdoor}","{Split Tongue, Lightweight}",Comfort,Asymmetric,"{Intermediate, Advanced}",False,135.00,Full,2021,Medium,,4.2,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",
Evolv Phantom LV,Evolv,{Velcro},{Vegan},Aggressive,"{Indoor, Outdoor}","{Expensive, Split Tongue}",Performance,Asymmetric,"{Intermediate, Advanced}",,205.00,Full,2023,,,4.2,False,,"{Trad, Face, Overhang, Crack, Bouldering}",9.9
Butora Acro Comp,Butora,{Velcro},{},Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",,160.00,Yes,2021,Soft,False,4.0,True,Low,"{Sport, Bouldering}",
Unparallel Up Mocc,Unparallel,{Slip-On},{},Neutral,"{Indoor, Outdoor}",{},,Asymmetric,"{Beginner, Intermediate, Advanced}",False,110.00,Yes,2021,Soft,True,4.2,True,Low,"{Trad, Crack, Bouldering}",11.6
So iLL New Zero,So iLL,{Velcro},{Vegan},Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,{Intermediate},True,159.00,Yes,2021,Soft,,3.2,False,Low,"{Trad, Sport, Bouldering}",
La Sportiva Python,La Sportiva,{Velcro},{Slip Lasted},Moderate,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",False,140.00,Partial,2021,Soft,,3.5,True,Low,"{Face, Overhang, Sport, Bouldering}",7.8
So iLL Street LV,So iLL,{Velcro},{Vegan},Aggressive,{},{},Performance,Asymmetric,"{Intermediate, Advanced}",True,140.00,Yes,2021,Soft,True,,False,Low,"{Face, Overhang, Sport, Bouldering}",
Unparallel Vim,Unparallel,{Slip-On},{},Aggressive,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Intermediate, Advanced}",True,140.00,Yes,2021,Medium,,3.5,True,Low,"{Overhang, Bouldering}",7.2
Ocun Jett QC,Ocun,{Velcro},{},Moderate,"{Indoor, Outdoor}","{Lightweight, Cheap}",Comfort,Asymmetric,"{Intermediate, Advanced}",,85.00,Yes,2021,Stiff,,4.0,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",6.6
Scarpa Reflex V,Scarpa,{Velcro},"{Slip Lasted, Vegan}",Neutral,{Indoor},{Lightweight},Comfort,Asymmetric,{Beginner},False,90.00,Partial,,,,5.0,True,Low,{Bouldering},7.4
Five Ten NIAD Moccasym,Five Ten,{Slip-On},{Board Lasted},Neutral,"{Indoor, Outdoor}",{},Comfort,Asymmetric,"{Beginner, Intermediate}",False,125.00,Full,,Medium,True,4.2,True,Low,"{Crack, Bouldering}",9.1
Ocun Jett LU,Ocun,{Laces},{},Moderate,"{Indoor, Outdoor}","{Lightweight, Cheap}",Comfort,Asymmetric,"{Intermediate, Advanced}",,85.00,Yes,2021,Stiff,,4.0,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",6.6
Boreal Diabolo,Boreal,{Velcro},{Slip Lasted},Moderate,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",False,130.00,Partial,2021,Medium,True,4.5,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.9
Boreal Mutant,Boreal,{Velcro},{},Aggressive,"{Indoor, Outdoor}",{},,Asymmetric,"{Intermediate, Advanced}",False,150.00,Yes,2021,,,4.5,False,Low,"{Overhang, Sport, Bouldering}",8.1
Boreal Alpha,Boreal,{Velcro},{Slip Lasted},Neutral,"{Indoor, Outdoor}","{Split Tongue, Cheap}",Comfort,Asymmetric,"{Beginner, Intermediate, Advanced}",False,80.00,Yes,2021,,True,4.5,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.7
Boreal Synergy,Boreal,{Velcro},"{Slip Lasted, Vegan}",Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",True,170.00,No,2021,Soft,True,4.5,False,Low,"{Face, Overhang, Sport, Bouldering}",8.1
Mad Rock Weaver,Mad Rock,{Velcro},{},Neutral,"{Indoor, Outdoor}",{Cheap},Comfort,Asymmetric,{Beginner},,100.00,Yes,2021,Medium,,4.2,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.4
La Sportiva Geckogym,La Sportiva,{Velcro},"{Slip Lasted, Vegan}",Neutral,{Indoor},{Split Tongue},Comfort,Straight,{},True,110.00,Full,2021,Medium,,5.0,True,Low,"{Face, Bouldering}",8.3
