SHOE_NAME,Brand,Closure,Cut,MSRP (USD),Pronation,Release Date,Season,Use,Waterproofing,Weight (oz),Widths Available
Columbia Redmond V2 Waterproof,Columbia,Laces,Low,90.00,{},2019,{},{Day},Waterproof,22.5,"{Standard, Wide}"
New Balance 978,New Balance,Laces,Low,155.00,{Overpronation},2020,{},{Day},Waterproof,17.8,"{Narrow, Standard}"
Adidas Terrex Swift R2,Adidas,Laces,Low,115.00,{},,{},"{Speed, Day}",,13.6,{Standard}
The North Face Ultra 111 WP,The North Face,Laces,Low,120.00,{},2020,{},{Day},Waterproof,7.5,{Standard}
Columbia Vitesse,Columbia,Laces,Low,90.00,{Neutral},2020,{Summer},"{Speed, Urban}",,12.5,{Standard}
Merrell MQM Flex GTX,Merrell,Laces,Low,140.00,{},,{},"{Speed, Day}",Waterproof,11.4,{Standard}
Adidas Terrex Voyager,Adidas,,Low,80.00,{Neutral},2020,{Summer},{Water},,14.2,{Standard}
KEEN Venture WP,KEEN,Laces,Low,170.00,{Neutral},2019,{},"{Speed, Day}",Waterproof,17.0,{Standard}
Lowa Explorer GTX Lo,Lowa,Laces,Low,200.00,{},2021,{},{Backpacking},Waterproof,17.3,"{Standard, Wide}"
KEEN Koven,KEEN,Laces,Low,90.00,{Neutral},2020,{Summer},{Day},,14.4,{Standard}
Mammut Sapuen Low GTX,Mammut,Laces,Low,168.00,{},2022,{},"{Urban, Day}",Waterproof,16.9,{Standard}
Mammut Saentis Low,Mammut,Laces,Low,129.00,{Neutral},2020,{Summer},"{Light, Speed}",,12.0,{Standard}
Ariat Skyline Slip-On,Ariat,Slip On,Low,90.00,{Neutral},2020,{Summer},{Light},,14.4,{Standard}
Oboz Sawtooth II Low BDry,Oboz,Laces,Low,140.00,{},2019,{},{Day},Waterproof,17.4,"{Standard, Wide}"
Oboz Firebrand II Low BDry,Oboz,Laces,Low,140.00,{},,{},{Day},Waterproof,18.3,"{Standard, Wide}"
