SHOE_NAME,Brand,Features,Lockdown,MSRP (USD),Release Date,Signature,Top,Weight (oz)
Air Jordan Legacy 312,Jordan,{Ankle Support},{Laces},150.00,,Michael Jordan,High,
Adidas Pro Bounce 2019 Low,Adidas,{},{Laces},110.00,2019,,Low,
PUMA Fusion Nitro Spectra,PUMA,{},{Laces},130.00,2021,,Low,13.3
Nike Air Force Max,Nike,"{Ankle Support, Outdoor}","{Laces, Strap}",160.00,2019,,High,
Converse G4,Converse,{},{Laces},110.00,2019,,Low,
Nike Hyperdunk X,Nike,{Ankle Support},{Laces},130.00,,,Mid,
Converse All Star BB Prototype CX,Converse,{Outdoor},{Laces},120.00,2023,,Mid,13.3
Nike Hyperdunk 2014,Nike,{Ankle Support},{Laces},140.00,,,High,11.4
Adidas Harden Vol. 1,Adidas,{},{Laces},140.00,,James Harden,Low,15.1
Nike Precision 3,Nike,{Cheap},{Laces},70.00,,,Low,
Adidas Harden Vol. 2,Adidas,{},{Laces},140.00,,James Harden,Low,14.6
New Balance Fresh Foam BB,New Balance,{},{Laces},130.00,2023,,Mid,11.2
Nike Lebron 17 Low,Nike,{},{Laces},160.00,2019,LeBron James,Low,13.6
Adidas Harden Stepback 2,Adidas,"{Outdoor, Cheap}",{Laces},70.00,2021,James Harden,Low,13.2
Air Jordan XXXV,Jordan,{Ankle Support},{Laces},180.00,2019,Michael Jordan,Mid,
Nike LeBron Soldier 12,Nike,{Ankle Support},"{Strap, Slip-On}",140.00,,LeBron James,High,
Nike Kyrie 5,Nike,"{Ankle Support, Outdoor}",{Laces},130.00,,Kyrie Irving,Mid,13.1
Nike Renew Elevate,Nike,{Outdoor},{Laces},80.00,2019,,Low,10.6
New Balance Kawhi 2,New Balance,"{Ankle Support, Outdoor}",{Laces},160.00,2022,Kawhi Leonard,Mid,11.5
Air Jordan 34,Jordan,{Ankle Support},{Laces},180.00,,Michael Jordan,Mid,13.1
Air Jordan XXXII,Jordan,{Ankle Support},{Laces},185.00,,Michael Jordan,Mid,16.0
Jordan Ultra.Fly 2,Jordan,{Ankle Support},{Laces},125.00,,,High,14.0
Air Jordan 33,Jordan,{Ankle Support},"{Laces, Slip-On}",175.00,,Michael Jordan,Mid,15.6
Nike Kybrid S2,Nike,"{Ankle Support, Outdoor}",{Laces},140.00,2019,Kyrie Irving,Mid,12.9
Air Jordan 11 IE Low,Jordan,{},{Laces},170.00,,Michael Jordan,Low,
Under Armour Spawn 4,Under Armour,{Cheap},{Laces},100.00,2022,,Low,11.6
Under Armour Flow FUTR X,Under Armour,{},{Laces},120.00,2022,,Low,10.5
Nike Air Flightposite,Nike,"{Expensive, Ankle Support}","{Zipper, Laces}",200.00,,,Mid,16.6
Nike LeBron Witness 4,Nike,{Ankle Support},{Laces},100.00,2019,LeBron James,Mid,13.1
PUMA Dreamer 2,PUMA,"{Expensive, Ankle Support}",{Laces},200.00,2021,,Mid,
Under Armour Curry 7,Under Armour,{Outdoor},{Laces},140.00,,Stephen Curry,Low,13.2
Nike Air Zoom Generation,Nike,{Ankle Support},{Laces},175.00,,LeBron James,Mid,16.0
Nike Fly.By Mid 2,Nike,"{Ankle Support, Cheap}",{Laces},65.00,2021,,Mid,
Nike PG2,Nike,{},{Laces},110.00,,Paul George,Low,13.0
Nike KD 9,Nike,{},"{Laces, Slip-On}",150.00,,Kevin Durant,Low,12.0
Jordan Flyknit Elevation 23,Jordan,{Ankle Support},{Laces},170.00,,,High,
Jordan Big Fund,Jordan,{Ankle Support},{Laces},125.00,,,Mid,
Air Jordan 29,Jordan,"{Expensive, Ankle Support}",{Laces},225.00,,Michael Jordan,High,12.7
Air Jordan 20,Jordan,"{Expensive, Ankle Support}","{Laces, Strap}",220.00,,Michael Jordan,High,14.0
Nike Mamba Focus,Nike,{},{Laces},100.00,,Kobe Bryant,Low,16.6
Nike KD 12,Nike,"{Ankle Support, Outdoor}",{Laces},150.00,,Kevin Durant,Mid,12.3
Converse All Star Pro BB,Converse,{Ankle Support},{Laces},140.00,2019,,High,
Under Armour Curry 3Z5,Under Armour,"{Ankle Support, Cheap}",{Laces},80.00,2021,Stephen Curry,Mid,12.2
Adidas T-Mac 2.0 Restomod,Adidas,"{Retro, Ankle Support}",{Laces},130.00,2021,Tracy McGrady,Mid,
Nike Air Max Penny 1,Nike,"{Ankle Support, Outdoor}",{Laces},160.00,,Penny Hardaway,Mid,12.4
Nike Air Darwin,Nike,{Ankle Support},{Laces},130.00,,,Mid,
Nike Air Zoom G.T. Cut,Nike,{Outdoor},{Laces},170.00,2021,,Low,13.2
Nike Kobe A.D. NXT,Nike,{Expensive},{Slip-On},200.00,,Kobe Bryant,Low,13.0
Nike LeBron 15,Nike,"{Ankle Support, Outdoor}","{Laces, Slip-On}",185.00,,LeBron James,High,15.0
Nike KD 11,Nike,{Ankle Support},"{Laces, Slip-On}",150.00,,Kevin Durant,Mid,
Nike Mamba Fury,Nike,{},{Laces},100.00,2019,Kobe Bryant,Low,
New Balance OMN1S,New Balance,{Ankle Support},{Laces},140.00,2019,Kawhi Leonard,High,
Under Armour Curry 6,Under Armour,{},"{Laces, Slip-On}",130.00,,Stephen Curry,Low,12.0
Nike Kobe 6 Protro,Nike,{Retro},{Laces},180.00,2021,Kobe Bryant,Low,
Under Armour Curry 4,Under Armour,{Ankle Support},{Laces},130.00,,Stephen Curry,High,12.0
Nike Hyperdunk X Low,Nike,{},{Laces},120.00,,,Low,11.1
Nike KD 8,Nike,{},{Laces},180.00,2019,Kevin Durant,Low,12.0
Under Armour Curry 1,Under Armour,{Ankle Support},{Laces},160.00,,Stephen Curry,Mid,
Nike Air Max Impact,Nike,"{Ankle Support, Cheap}",{Laces},90.00,2019,,Mid,
Jordan Jumpman Hustle,Jordan,{},"{Zipper, Laces}",110.00,,,Low,15.6
Nike Kyrie Low,Nike,{},"{Laces, Strap}",120.00,,Kyrie Irving,Low,11.8
Nike Adapt BB 2.0,Nike,"{Expensive, Ankle Support}",{FitAdapt},400.00,2019,,Mid,19.6
Jordan Jumpman Pro Quick,Jordan,{Ankle Support},{Laces},130.00,,Michael Jordan,Mid,
Under Armour Curry 3,Under Armour,{Ankle Support},{Laces},140.00,,Stephen Curry,Mid,14.0
Nike PG1,Nike,{},"{Laces, Strap}",110.00,,Paul George,Low,13.1
Nike Kobe 5 Protro,Nike,{},{Laces},180.00,2019,Kobe Bryant,Low,10.7
Air Jordan 2009,Jordan,{Ankle Support},{Laces},190.00,,Michael Jordan,Mid,
Adidas Own The Game,Adidas,"{Ankle Support, Cheap}",{Laces},65.00,,,Mid,13.0
Under Armour Flow FUTR X 2,Under Armour,{Outdoor},{Laces},120.00,2022,,Low,10.5
Nike Air Force Max CB,Nike,{},{Laces},150.00,,Charles Barkley,,
Nike KD 6,Nike,{},{Laces},130.00,,Kevin Durant,Low,10.6
Nike Kyrie 4,Nike,{Ankle Support},{Laces},120.00,,Kyrie Irving,Mid,13.1
Under Armour Spawn 3,Under Armour,{Outdoor},{Laces},100.00,2021,,Low,11.2
Nike LeBron Soldier 13,Nike,{Ankle Support},{Strap},140.00,,LeBron James,High,14.1
Nike Air Max Impact 2,Nike,{Ankle Support},{Laces},90.00,2021,,Mid,
Nike Mamba Rage,Nike,{},{Laces},100.00,,Kobe Bryant,Low,
Nike PG3,Nike,{},{Laces},120.00,,Paul George,Low,
Fila Spaghetti,Fila,"{Ankle Support, Cheap}",{Laces},90.00,,,Mid,
Air Jordan 22,Jordan,"{Ankle Support, Outdoor}",{Laces},165.00,,Michael Jordan,Mid,
Nike Kyrie 3,Nike,{Ankle Support},{Laces},120.00,,Kyrie Irving,Mid,13.1
Adidas Harden Vol. 5,Adidas,{},{Laces},130.00,2021,James Harden,Low,16.2
Adidas Dame 4,Adidas,{Ankle Support},{Laces},115.00,,Damian Lillard,Mid,12.1
Nike KD 4,Nike,{},"{Laces, Strap}",140.00,,Kevin Durant,Low,
Nike Lebron 13,Nike,"{Expensive, Ankle Support}","{Laces, Slip-On}",200.00,,LeBron James,High,16.0
Nike LeBron 10,Nike,{Ankle Support},{Laces},180.00,2019,LeBron James,High,14.1
Under Armour Curry 10,Under Armour,{},{Laces},160.00,2022,Stephen Curry,Low,11.1
Air Jordan XXX,Jordan,"{Expensive, Ankle Support}",{Laces},200.00,,Michael Jordan,Mid,14.0
Nike Air Precision,Nike,"{Ankle Support, Outdoor}",{Laces},60.00,,,Mid,
Adidas Son Of Chi 2,Adidas,"{Ankle Support, Outdoor}",{Laces},160.00,2022,Derrick Rose,Mid,
Air Jordan XX8,Jordan,"{Expensive, Ankle Support}","{Zipper, Laces}",250.00,,Michael Jordan,High,13.3
Nike Kyrie Low 3,Nike,{},{Laces},110.00,2019,Kyrie Irving,Low,12.5
Jordan B. Fly,Jordan,{Ankle Support},{Laces},110.00,,Michael Jordan,Mid,11.4
Nike Kobe A.D.,Nike,{},{Laces},160.00,,Kobe Bryant,Low,12.1
Jordan Super.Fly 4,Jordan,{Ankle Support},{Laces},150.00,,,Mid,
Air Jordan 2011,Jordan,{Ankle Support},{Laces},170.00,,Michael Jordan,Mid,
Nike Kyrie 2,Nike,{Ankle Support},{Laces},120.00,,Kyrie Irving,Mid,13.1
Reebok Blast,Reebok,{Ankle Support},{Laces},120.00,,,Mid,
PUMA Clyde Court Disrupt,PUMA,{Ankle Support},{Laces},120.00,,Clyde Frazier,Mid,16.0
Nike Kobe 9 Elite,Nike,"{Expensive, Ankle Support}",{Laces},225.00,,Kobe Bryant,High,14.2
Nike Kyrie Flytrap III,Nike,{Ankle Support},"{Laces, Strap}",80.00,2019,Kyrie Irving,Mid,11.6
Air Jordan 19,Jordan,{Ankle Support},{Laces},165.00,,Michael Jordan,Mid,16.0
Nike Kyrie 8,Nike,{Outdoor},{Laces},140.00,2023,Kyrie Irving,Low,
Jordan One Take II,Jordan,{},{Laces},100.00,2021,Russell Westbrook,Low,11.3
Nike Air Ring Leader Low,Nike,{},{Laces},65.00,2019,,Low,
Nike Fly.by Mid,Nike,{Ankle Support},{Laces},65.00,2019,,Mid,
Under Armour Anatomix Spawn 2,Under Armour,{Ankle Support},{Laces},110.00,,,Mid,12.0
Air Jordan XXXI,Jordan,{Ankle Support},{Laces},185.00,,Michael Jordan,High,16.0
Nike Kobe 10,Nike,{},{Laces},180.00,,Kobe Bryant,Low,13.4
Nike Air Force 180,Nike,{Ankle Support},{Laces},140.00,,,High,
Under Armour HOVR Havoc,Under Armour,{Ankle Support},{Laces},115.00,,,High,15.3
Reebok Royal BB4500 Low,Reebok,{},{Laces},125.00,,,Low,
Nike Zoom Live 2,Nike,{Cheap},{Laces},100.00,,,Low,13.0
Jordan Ultra.Fly 3,Jordan,{},{Laces},125.00,,,Low,
Nike Zoom Kobe 5,Nike,{Expensive},{Laces},200.00,,Kobe Bryant,Low,10.6
Jordan Jumpman 2020,Jordan,{},{},110.00,2019,,Low,
Nike Kobe 11 Elite Low,Nike,{Expensive},{Laces},200.00,,Kobe Bryant,Low,12.1
Air Jordan 21,Jordan,{Ankle Support},{Laces},175.00,,Michael Jordan,Mid,
Jordan Why Not Zer0.4,Jordan,{Ankle Support},{},130.00,2021,Russell Westbrook,Mid,11.8
Nike Kobe AD NXT 360,Nike,{Expensive},{Laces},200.00,,Kobe Bryant,Low,
Nike HyperRev 2016,Nike,{Ankle Support},"{Laces, Strap}",110.00,,,High,14.0
Adidas Yeezy BSKTBL Knit,Adidas,"{Expensive, Ankle Support, Outdoor}",{Laces},300.00,2022,,High,
Air Jordan 2010,Jordan,{Ankle Support},{Laces},170.00,,Michael Jordan,Mid,
Nike Kyrie 1,Nike,{Ankle Support},{Laces},110.00,,Kyrie Irving,Mid,12.0
Nike Lebron 3 Retro,Nike,"{Expensive, Retro, Ankle Support}",{Laces},450.00,,LeBron James,Mid,
Jordan Ultra.Fly,Jordan,{Ankle Support},{Laces},125.00,,,Mid,13.0
Nike Chuck Posite,Nike,"{Expensive, Ankle Support}",{Laces},230.00,,Charles Barkley,Mid,
Jordan CP3 12,Jordan,{Ankle Support},{Laces},100.00,,Chris Paul,Mid,
Adidas Adizero Rose 1 Retro,Adidas,"{Retro, Ankle Support}",{Laces},140.00,2019,Derrick Rose,High,
Under Armour SC 3Zer0 III,Under Armour,{Cheap},{Laces},90.00,2019,Stephen Curry,Low,12.0
